Epoch 189: start=-2.5524, end=2.3015, tau=6.6229
Epoch 190: start=-2.5521, end=2.3007, tau=6.6610
Epoch 191: start=-2.5516, end=2.3021, tau=6.6174
Epoch 192: start=-2.5507, end=2.3038, tau=6.5651
Epoch 193: start=-2.5507, end=2.3038, tau=6.5684
Epoch 194: start=-2.5504, end=2.3038, tau=6.5755
Epoch 195: start=-2.5504, end=2.3041, tau=6.5639
Epoch 196: start=-2.5496, end=2.3042, tau=6.5744
Epoch 197: start=-2.5498, end=2.3037, tau=6.5956
Epoch 198: start=-2.5496, end=2.3029, tau=6.6308
Epoch 199: start=-2.5493, end=2.3034, tau=6.6167
Epoch 200: start=-2.5492, end=2.3039, tau=6.5962
Epoch 201: start=-2.5488, end=2.3047, tau=6.5759
Epoch 202: start=-2.5489, end=2.3046, tau=6.5769
Epoch 203: start=-2.5489, end=2.3046, tau=6.5764
Epoch 204: start=-2.5488, end=2.3047, tau=6.5741
Epoch 205: start=-2.5488, end=2.3049, tau=6.5689
Epoch 206: start=-2.5488, end=2.3048, tau=6.5704
Epoch 207: start=-2.5488, end=2.3049, tau=6.5695
Epoch 208: start=-2.5487, end=2.3049, tau=6.5704
Epoch 209: start=-2.5487, end=2.3050, tau=6.5674
Epoch 210: start=-2.5487, end=2.3050, tau=6.5635
Epoch 211: start=-2.5487, end=2.3050, tau=6.5630
Epoch 212: start=-2.5487, end=2.3050, tau=6.5647
Epoch 213: start=-2.5488, end=2.3050, tau=6.5618
Epoch 214: start=-2.5488, end=2.3049, tau=6.5652
Epoch 215: start=-2.5489, end=2.3048, tau=6.5690
Epoch 216: start=-2.5489, end=2.3048, tau=6.5690
Epoch 217: start=-2.5489, end=2.3047, tau=6.5730
Epoch 218: start=-2.5489, end=2.3047, tau=6.5725
Epoch 219: start=-2.5489, end=2.3047, tau=6.5735
Epoch 220: start=-2.5489, end=2.3046, tau=6.5775
Epoch 221: start=-2.5490, end=2.3045, tau=6.5779
Epoch 222: start=-2.5490, end=2.3046, tau=6.5763
Epoch 223: start=-2.5490, end=2.3046, tau=6.5754
Epoch 224: start=-2.5490, end=2.3045, tau=6.5763
Epoch 225: start=-2.5490, end=2.3045, tau=6.5774
Epoch 226: start=-2.5489, end=2.3045, tau=6.5799
Epoch 227: start=-2.5489, end=2.3046, tau=6.5795
Epoch 228: start=-2.5489, end=2.3046, tau=6.5763
Epoch 229: start=-2.5488, end=2.3046, tau=6.5772
Epoch 230: start=-2.5488, end=2.3046, tau=6.5805
Epoch 231: start=-2.5489, end=2.3045, tau=6.5809
Epoch 232: start=-2.5490, end=2.3045, tau=6.5800
Epoch 233: start=-2.5489, end=2.3044, tau=6.5848
Epoch 234: start=-2.5488, end=2.3045, tau=6.5852
Epoch 235: start=-2.5488, end=2.3045, tau=6.5866
Epoch 236: start=-2.5489, end=2.3044, tau=6.5851
Epoch 237: start=-2.5489, end=2.3043, tau=6.5899
Epoch 238: start=-2.5489, end=2.3042, tau=6.5915
Epoch 239: start=-2.5489, end=2.3042, tau=6.5943
Epoch 240: start=-2.5489, end=2.3042, tau=6.5942
Epoch 241: start=-2.5489, end=2.3042, tau=6.5950
Epoch 242: start=-2.5488, end=2.3043, tau=6.5923
Epoch 243: start=-2.5488, end=2.3042, tau=6.5975
Epoch 244: start=-2.5487, end=2.3042, tau=6.5963
Epoch 245: start=-2.5487, end=2.3042, tau=6.5977
Epoch 246: start=-2.5487, end=2.3042, tau=6.5978
Epoch 247: start=-2.5488, end=2.3042, tau=6.5960
Epoch 248: start=-2.5488, end=2.3043, tau=6.5916
Epoch 249: start=-2.5489, end=2.3043, tau=6.5884
Epoch 250: start=-2.5489, end=2.3044, tau=6.5873
Epoch 251: start=-2.5489, end=2.3043, tau=6.5891
Epoch 252: start=-2.5489, end=2.3043, tau=6.5880
Epoch 253: start=-2.5488, end=2.3045, tau=6.5837
Epoch 254: start=-2.5488, end=2.3044, tau=6.5863
Epoch 255: start=-2.5488, end=2.3044, tau=6.5863
Epoch 256: start=-2.5487, end=2.3045, tau=6.5855
Epoch 257: start=-2.5488, end=2.3045, tau=6.5855
Epoch 258: start=-2.5488, end=2.3044, tau=6.5897
Epoch 259: start=-2.5487, end=2.3044, tau=6.5902
Epoch 260: start=-2.5488, end=2.3044, tau=6.5887
Epoch 261: start=-2.5488, end=2.3043, tau=6.5894
Epoch 262: start=-2.5488, end=2.3044, tau=6.5879
Epoch 263: start=-2.5488, end=2.3044, tau=6.5877
Epoch 264: start=-2.5489, end=2.3044, tau=6.5877
Epoch 265: start=-2.5488, end=2.3044, tau=6.5865
Epoch 266: start=-2.5488, end=2.3045, tau=6.5853
Epoch 267: start=-2.5488, end=2.3044, tau=6.5869
Epoch 268: start=-2.5488, end=2.3045, tau=6.5856
Epoch 269: start=-2.5487, end=2.3045, tau=6.5831
Epoch 270: start=-2.5487, end=2.3046, tau=6.5815
Epoch 271: start=-2.5488, end=2.3045, tau=6.5827
Epoch 272: start=-2.5488, end=2.3044, tau=6.5882
Epoch 273: start=-2.5488, end=2.3042, tau=6.5940
Epoch 274: start=-2.5489, end=2.3042, tau=6.5937
Epoch 275: start=-2.5489, end=2.3042, tau=6.5922
Epoch 276: start=-2.5489, end=2.3044, tau=6.5880
Epoch 277: start=-2.5490, end=2.3042, tau=6.5893
Epoch 278: start=-2.5491, end=2.3042, tau=6.5901
Epoch 279: start=-2.5491, end=2.3041, tau=6.5929
Epoch 280: start=-2.5492, end=2.3041, tau=6.5918
Epoch 281: start=-2.5492, end=2.3041, tau=6.5892
Epoch 282: start=-2.5492, end=2.3041, tau=6.5904
Epoch 283: start=-2.5492, end=2.3042, tau=6.5871
Epoch 284: start=-2.5493, end=2.3040, tau=6.5920
Epoch 285: start=-2.5494, end=2.3039, tau=6.5946
Epoch 286: start=-2.5494, end=2.3040, tau=6.5918
Epoch 287: start=-2.5493, end=2.3040, tau=6.5913
Epoch 288: start=-2.5493, end=2.3040, tau=6.5924
Epoch 289: start=-2.5493, end=2.3041, tau=6.5906
Epoch 290: start=-2.5493, end=2.3042, tau=6.5853
Epoch 291: start=-2.5493, end=2.3042, tau=6.5814
Epoch 292: start=-2.5494, end=2.3043, tau=6.5799
Epoch 293: start=-2.5494, end=2.3043, tau=6.5777
Epoch 294: start=-2.5493, end=2.3044, tau=6.5761
Epoch 295: start=-2.5494, end=2.3044, tau=6.5743
Epoch 296: start=-2.5494, end=2.3045, tau=6.5713
Epoch 297: start=-2.5493, end=2.3046, tau=6.5686
Epoch 298: start=-2.5493, end=2.3046, tau=6.5687
Epoch 299: start=-2.5493, end=2.3045, tau=6.5686
Epoch 300: start=-2.5493, end=2.3046, tau=6.5656
Epoch 301: start=-2.5493, end=2.3047, tau=6.5638
Epoch 302: start=-2.5493, end=2.3047, tau=6.5640
Epoch 303: start=-2.5493, end=2.3047, tau=6.5642
Epoch 304: start=-2.5493, end=2.3047, tau=6.5643
Epoch 305: start=-2.5493, end=2.3047, tau=6.5640
Epoch 306: start=-2.5493, end=2.3047, tau=6.5639
Epoch 307: start=-2.5493, end=2.3047, tau=6.5640
Epoch 308: start=-2.5493, end=2.3047, tau=6.5638
